Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  05:00:00,24.4,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,78.98132362852499,78.98132362852499,0.0,0.0,0.0,0.0,78.98132362852499,0.0,0.000007468896655669533,48938.54818282244,0.0 
 07/01  05:05:00,24.30833333333333,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,78.94720192447825,78.94720192447825,0.0,0.0,0.0,0.0,78.94720192447825,0.0,30404.690369179596,79903.79492888603,0.0 
 07/01  05:10:00,24.216666666666666,11389.126785350883,0.0,80.6,60.8,80.47737018184111,60.92262981815889,77.96405869940256,77.96405869940256,1.0,0.0,672.0,26812.0,77.96405869940256,0.0,30259.626715738366,79727.68868646396,0.0 
 07/01  05:15:00,24.124999999999998,11302.742416669871,0.0,80.6,60.8,80.47737018184111,60.92262981815889,77.03018485236234,77.03018485236234,1.0,0.0,672.0,26812.0,77.03018485236234,0.0,30141.455732922972,79563.35129422456,0.0 
 07/01  05:20:00,24.033333333333336,11243.65692525016,0.0,80.6,60.8,80.47737018184111,60.92262981815889,76.4483362066926,76.4483362066926,1.0,0.0,672.0,26812.0,76.4483362066926,0.0,30022.53931628947,79424.24565868819,0.0 
 07/01  05:25:00,23.941666666666664,22368.39743435793,0.0,80.6,60.8,80.47737018184111,60.92262981815889,76.00916069208235,76.00916069208235,1.0,0.0,672.0,26812.0,76.00916069208235,0.0,29902.835334762665,70717.7699516538,0.0 
 07/01  05:30:00,23.85,22248.69345281735,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.7843520540389,75.7843520540389,1.0,0.0,672.0,26812.0,75.7843520540389,0.0,29782.358857882577,70589.4673360996,0.0 
 07/01  05:35:00,23.758333333333334,22128.216975923056,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.62346486147163,75.62346486147163,1.0,0.0,672.0,26812.0,75.62346486147163,0.0,29661.111344750523,70462.88916030567,0.0 
 07/01  05:40:00,23.666666666666669,22006.9694627764,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.49910908440482,75.49910908440482,1.0,0.0,672.0,26812.0,75.49910908440482,0.0,29539.093053021643,70336.98687719763,0.0 
 07/01  05:45:00,23.575000000000004,21884.951171038214,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.39974904561373,75.39974904561373,1.0,0.0,672.0,26812.0,75.39974904561373,0.0,29416.29411065743,70211.1940844352,0.0 
 07/01  05:50:00,23.483333333333336,21762.152228694384,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.31623138734685,75.31623138734685,1.0,0.0,672.0,26812.0,75.31623138734685,0.0,29292.72537367883,70085.15865368823,0.0 
 07/01  05:55:00,23.39166666666667,21638.58349175382,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.24518492271831,75.24518492271831,1.0,0.0,672.0,26812.0,75.24518492271831,0.0,29168.373838142747,69958.66338812968,0.0 
 07/01  06:00:00,23.3,21514.23195624647,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.182707374561,75.182707374561,1.0,0.0,672.0,26812.0,75.182707374561,0.0,29043.244534385012,69831.56290049777,0.0 
 07/01  06:05:00,23.533333333333336,21389.102652509908,0.0,80.6,60.8,80.47737018184111,60.92262981815889,75.12685497386458,75.12685497386458,1.0,0.0,672.0,26812.0,75.12685497386458,0.0,35323.115155233594,76022.07440778622,0.0 
 07/01  06:10:00,23.766666666666667,12536.395490278132,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.84289806356856,74.84289806356856,1.0,0.0,672.0,26812.0,74.84289806356856,0.0,33786.042885165734,74482.53133108828,0.0 
 07/01  06:15:00,24.0,25961.523733479167,113.89833943919284,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.77183155166859,74.77183155166859,1.0,1.0,672.0,26812.0,74.77183155166859,0.0,34421.81335530542,75118.86014565386,0.0 
 07/01  06:20:00,24.233333333333336,26625.329600540288,77.62095770393862,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.73439950036954,74.73439950036954,1.0,1.0,672.0,26812.0,74.73439950036954,0.0,35077.65586399232,75778.10681502882,0.0 
 07/01  06:25:00,24.46666666666667,27349.819032607047,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.70040830346679,74.70040830346679,1.0,0.0,672.0,26812.0,74.70040830346679,0.0,35818.87222239507,76523.27509914967,0.0 
 07/01  06:30:00,24.700000000000004,28081.125473129236,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.66916722416886,74.66916722416886,1.0,0.0,672.0,26812.0,74.66916722416886,0.0,36580.79058020384,77289.75329527151,0.0 
 07/01  06:35:00,24.933333333333335,28831.164473267912,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.63991223142507,74.63991223142507,1.0,0.0,672.0,26812.0,74.63991223142507,0.0,37318.674010024115,78032.38966248301,0.0 
 07/01  06:40:00,25.166666666666666,29560.454725813874,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.61230221708525,74.61230221708525,1.0,0.0,672.0,26812.0,74.61230221708525,0.0,38056.770072106585,78775.24147505124,0.0 
 07/01  06:45:00,25.400000000000003,30290.342470198266,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.58624324614867,74.58624324614867,1.0,0.0,672.0,26812.0,74.58624324614867,0.0,38799.17685195925,79522.4073956717,0.0 
 07/01  06:50:00,25.633333333333338,31024.36776538564,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.5617124884031,74.5617124884031,1.0,0.0,672.0,26812.0,74.5617124884031,0.0,39548.322312523545,80276.31653449172,0.0 
 07/01  06:55:00,25.866666666666668,31764.702600628498,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.53887750792507,74.53887750792507,1.0,0.0,672.0,26812.0,74.53887750792507,0.0,40302.897896840004,81035.66521582613,0.0 
 07/01  07:00:00,26.1,32510.08882034395,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.51766895264271,74.51766895264271,1.0,0.0,672.0,26812.0,74.51766895264271,0.0,41062.199088310335,81799.74710777009,0.0 
 07/01  07:05:00,26.375,33259.92245342717,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.49821264192252,74.49821264192252,1.0,0.0,672.0,26812.0,74.49821264192252,0.0,45159.34763409328,134122.29177911496,0.0 
 07/01  07:10:00,26.650000000000003,18696.99717061741,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.75916901377468,74.75916901377468,1.0,0.0,672.0,26812.0,74.75916901377468,216.58844050947497,48318.61940984453,137295.27956128348,0.0 
 07/01  07:15:00,26.925000000000006,39527.22424807217,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.8882097106476,74.8882097106476,1.0,0.0,672.0,26812.0,74.8882097106476,216.58844050947497,49646.519393284274,138632.5188125439,0.0 
 07/01  07:20:00,27.200000000000004,40761.29803377721,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.92186813671953,74.92186813671953,1.0,0.0,672.0,26812.0,74.92186813671953,216.58844050947497,50818.46054982574,139811.8826087078,0.0 
 07/01  07:25:00,27.475,41874.74463864707,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.94334949591299,74.94334949591299,1.0,0.0,672.0,26812.0,74.94334949591299,216.58844050947497,52062.11429731618,141062.16321918462,0.0 
 07/01  07:30:00,27.75,43061.40708302026,0.0,76.56119924319605,67.53133459467327,76.43856942503715,67.65396441283215,74.95898821890319,74.95898821890319,1.0,0.0,672.0,26812.0,74.95898821890319,216.58844050947497,53329.2348611952,142335.52011755869,0.0 
