Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/02  22:15:00,31.549999999999998,32953.77768559512,0.0,80.6,60.8,80.599271062132,60.800728937867997,78.1481222079195,78.1481222079195,1.0,0.0,0.0,25384.0,78.1481222079195,0.0,15794.263717595833,65699.19309225018,0.0 
 07/02  22:20:00,31.500000000000005,6170.507894657744,0.0,80.6,60.8,80.62220347802458,60.77779652197544,78.66773922517882,78.66773922517882,1.0,0.0,0.0,9904.0,78.66773922517882,0.0,5706.502500662424,55612.881548894555,0.0 
 07/02  22:25:00,31.449999999999997,1605.9555364429837,0.0,80.6,60.8,80.58859916663792,60.81140083336207,79.36984525822447,79.36984525822447,1.0,0.0,0.0,1260.0,79.36984525822447,0.0,5630.208320186284,53536.08160508022,0.0 
 07/02  22:30:00,31.4,1579.7730218860623,0.0,80.6,60.8,80.60411891593845,60.79588108406157,79.88345220109513,79.88345220109513,1.0,0.0,0.0,1260.0,79.88345220109513,0.0,7001.8697764656139,54909.2845840817,0.0 
 07/02  22:35:00,31.35,3116.1200058145525,0.0,80.6,60.8,80.60904810187839,60.79095189812163,80.32431736757545,80.32431736757545,1.0,0.0,1428.0,1260.0,80.32431736757545,0.0,3352.728919902033,53668.92036442045,0.0 
 07/02  22:40:00,31.300000000000006,451.9765694866476,0.0,80.6,60.8,80.58802524481382,60.81197475518619,80.44345401659743,80.44345401659743,1.0,0.0,0.0,1428.0,80.44345401659743,0.0,25738.4222164507,76054.43353928851,0.0 
 07/02  22:45:00,31.250000000000005,11041.739533998554,0.0,80.6,60.8,80.58113773877719,60.81886226122282,79.91385410892855,79.91385410892855,1.0,0.0,0.0,16908.0,79.91385410892855,0.0,27232.820037928464,77548.64618871483,0.0 
 07/02  22:50:00,31.2,11590.63927774441,0.0,80.6,60.8,80.57417035526078,60.825829644739247,79.41648709751517,79.41648709751517,1.0,0.0,1260.0,16908.0,79.41648709751517,0.0,41394.80402996194,91356.75521062607,0.0 
 07/02  22:55:00,31.150000000000003,16734.62366466596,0.0,80.6,60.8,80.53185540221407,60.86814459778594,78.7670847024102,78.7670847024102,1.0,0.0,0.0,26812.0,78.7670847024102,0.0,39964.11197528121,88734.33903312907,0.0 
 07/02  23:00:00,31.1,16466.307417038992,0.0,80.6,60.8,80.54344672938899,60.856553270611019,78.31280532926582,78.31280532926582,1.0,0.0,0.0,26812.0,78.31280532926582,0.0,37420.24156150439,86191.55032455283,0.0 
 07/02  23:05:00,31.058333333333335,15913.654316888045,0.0,80.6,60.8,80.56446888561513,60.835531114384888,78.03751613388094,78.03751613388094,1.0,0.0,0.0,25384.0,78.03751613388094,0.0,37208.87757804611,85981.37884385562,0.0 
 07/02  23:10:00,31.016666666666667,31695.886865512057,0.0,80.6,60.8,80.53118509939113,60.86881490060888,77.82131763474198,77.82131763474198,1.0,0.0,0.0,25384.0,77.82131763474198,0.0,15224.02687051446,63997.70073348517,0.0 
 07/02  23:15:00,30.975,5878.921745758734,0.0,80.6,60.8,80.53585603232816,60.86414396767185,78.3144853604281,78.3144853604281,1.0,0.0,0.0,9904.0,78.3144853604281,0.0,9815.535136839533,58589.18632703309,0.0 
